sample	group	tissue	accession	status	replicate	fq1	fq2
arikara_endosperm_1	arikara_endosperm	endosperm	arikara	domesticated	1	Ari-LD-endosperm-1_1.fq.gz	Ari-LD-endosperm-1_2.fq.gz
arikara_endosperm_2	arikara_endosperm	endosperm	arikara	domesticated	2	Ari-LD-endosperm-2_1.fq.gz	Ari-LD-endosperm-2_2.fq.gz
arikara_endosperm_3	arikara_endosperm	endosperm	arikara	domesticated	3	Ari-LD-endosperm-3_1.fq.gz	Ari-LD-endosperm-3_2.fq.gz
arikara_seedcoat_1	arikara_seedcoat	seedcoat	arikara	domesticated	1	Ari-LD-seedcoat-1_1.fq.gz	Ari-LD-seedcoat-1_2.fq.gz
arikara_seedcoat_2	arikara_seedcoat	seedcoat	arikara	domesticated	2	Ari-LD-seedcoat-2_1.fq.gz	Ari-LD-seedcoat-2_2.fq.gz
arikara_seedcoat_3	arikara_seedcoat	seedcoat	arikara	domesticated	3	Ari-LD-seedcoat-3_1.fq.gz	Ari-LD-seedcoat-3_2.fq.gz
arikara_earlyBudding_16	arikara_earlyBudding	earlyBudding	arikara	domesticated	16	Ari-R1-16_1.fq.gz	Ari-R1-16_2.fq.gz
arikara_earlyBudding_50	arikara_earlyBudding	earlyBudding	arikara	domesticated	50	Ari-R1-50_1.fq.gz	Ari-R1-50_2.fq.gz
arikara_earlyBudding_55	arikara_earlyBudding	earlyBudding	arikara	domesticated	55	Ari-R1-55_1.fq.gz	Ari-R1-55_2.fq.gz
arikara_lateBudding_1	arikara_lateBudding	lateBudding	arikara	domesticated	1	Ari-LD-R1plus5-1_1.fq.gz	Ari-LD-R1plus5-1_2.fq.gz
arikara_lateBudding_32	arikara_lateBudding	lateBudding	arikara	domesticated	32	Ari-R1plus5-32_1.fq.gz	Ari-R1plus5-32_2.fq.gz
arikara_lateBudding_47	arikara_lateBudding	lateBudding	arikara	domesticated	47	Ari-R1plus5-47_1.fq.gz	Ari-R1plus5-47_2.fq.gz
arikara_lateBudding_6	arikara_lateBudding	lateBudding	arikara	domesticated	6	Ari-R1plus5-6_1.fq.gz	Ari-R1plus5-6_2.fq.gz
arikara_leaf_1	arikara_leaf	leaf	arikara	domesticated	1	Ari-leaf-1_1.fq.gz	Ari-leaf-1_2.fq.gz
arikara_leaf_2	arikara_leaf	leaf	arikara	domesticated	2	Ari-leaf-2_1.fq.gz	Ari-leaf-2_2.fq.gz
arikara_leaf_3	arikara_leaf	leaf	arikara	domesticated	3	Ari-leaf-3_1.fq.gz	Ari-leaf-3_2.fq.gz
arikara_meristem_1	arikara_meristem	meristem	arikara	domesticated	1	Ari-meristem-1_1.fq.gz	Ari-meristem-1_2.fq.gz
arikara_meristem_2	arikara_meristem	meristem	arikara	domesticated	2	Ari-meristem-2_1.fq.gz	Ari-meristem-2_2.fq.gz
arikara_meristem_3	arikara_meristem	meristem	arikara	domesticated	3	Ari-meristem-3_1.fq.gz	Ari-meristem-3_2.fq.gz
arikara_node_1	arikara_node	node	arikara	domesticated	1	Ari-node-1_1.fq.gz	Ari-node-1_2.fq.gz
arikara_node_2	arikara_node	node	arikara	domesticated	2	Ari-node-2_1.fq.gz	Ari-node-2_2.fq.gz
arikara_node_3	arikara_node	node	arikara	domesticated	3	Ari-node-3_1.fq.gz	Ari-node-3_2.fq.gz
arikara_root_1	arikara_root	root	arikara	domesticated	1	Ari-root-1_1.fq.gz	Ari-root-1_2.fq.gz
arikara_root_2	arikara_root	root	arikara	domesticated	2	Ari-root-2_1.fq.gz	Ari-root-2_2.fq.gz
arikara_root_3	arikara_root	root	arikara	domesticated	3	Ari-root-3_1.fq.gz	Ari-root-3_2.fq.gz
arikara_shoot_1	arikara_shoot	shoot	arikara	domesticated	1	Ari-shoot-1_1.fq.gz	Ari-shoot-1_2.fq.gz
arikara_shoot_2	arikara_shoot	shoot	arikara	domesticated	2	Ari-shoot-2_1.fq.gz	Ari-shoot-2_2.fq.gz
arikara_shoot_3	arikara_shoot	shoot	arikara	domesticated	3	Ari-shoot-3_1.fq.gz	Ari-shoot-3_2.fq.gz
hidatsa_shoot_1	hidatsa_shoot	shoot	hidatsa	domesticated	1	Hid-shoot-1_1.fq.gz	Hid-shoot-1_2.fq.gz
hidatsa_shoot_2	hidatsa_shoot	shoot	hidatsa	domesticated	2	Hid-shoot-2_1.fq.gz	Hid-shoot-2_2.fq.gz
hidatsa_shoot_3	hidatsa_shoot	shoot	hidatsa	domesticated	3	Hid-shoot-3_1.fq.gz	Hid-shoot-3_2.fq.gz
hopi_shoot_1	hopi_shoot	shoot	hopi	domesticated	1	Hopi-shoot-1_1.fq.gz	Hopi-shoot-1_2.fq.gz
hopi_shoot_2	hopi_shoot	shoot	hopi	domesticated	2	Hopi-shoot-2_1.fq.gz	Hopi-shoot-2_2.fq.gz
hopi_shoot_3	hopi_shoot	shoot	hopi	domesticated	3	Hopi-shoot-3_1.fq.gz	Hopi-shoot-3_2.fq.gz
